Phi[deg],Theta[deg],dB(DirTotal)
112,4,8.3837
114,4,8.38334
116,4,8.38301
118,4,8.38271
120,4,8.38244
122,4,8.38219
124,4,8.38197
126,4,8.38177
128,4,8.38159
130,4,8.38144
132,4,8.3813
134,4,8.38119
136,4,8.3811
138,4,8.38103
140,4,8.38097
142,4,8.38093
144,4,8.3809
146,4,8.38089
148,4,8.38089
150,4,8.38089
152,4,8.38091
154,4,8.38094
156,4,8.38097
158,4,8.38101
160,4,8.38106
162,4,8.3811
164,4,8.38115
166,4,8.38121
168,4,8.38126
170,4,8.38131
172,4,8.38136
174,4,8.38141
176,4,8.38146
178,4,8.3815
180,4,8.38154
-180,6,8.32209
-178,6,8.32218
-176,6,8.32225
-174,6,8.32229
-172,6,8.3223
-170,6,8.32229
-168,6,8.32225
-166,6,8.32218
-164,6,8.32209
-162,6,8.32198
-160,6,8.32185
-158,6,8.32169
-156,6,8.32152
-154,6,8.32133
-152,6,8.32113
-150,6,8.32091
-148,6,8.32069
-146,6,8.32046
-144,6,8.32022
-142,6,8.31998
-140,6,8.31975
-138,6,8.31952
-136,6,8.31929
-134,6,8.31908
-132,6,8.31887
-130,6,8.31869
-128,6,8.31852
-126,6,8.31838
-124,6,8.31825
-122,6,8.31816
-120,6,8.3181
-118,6,8.31807
-116,6,8.31808
-114,6,8.31812
-112,6,8.3182
-110,6,8.31833
-108,6,8.3185
-106,6,8.31872
-104,6,8.31898
-102,6,8.3193
-100,6,8.31967
-98,6,8.32008
-96,6,8.32056
-94,6,8.32108
-92,6,8.32166
-90,6,8.3223
-88,6,8.32299
-86,6,8.32374
-84,6,8.32454
-82,6,8.32539
-80,6,8.3263
-78,6,8.32726
-76,6,8.32828
-74,6,8.32934
-72,6,8.33045
-70,6,8.33161
-68,6,8.3328
-66,6,8.33405
-64,6,8.33532
-62,6,8.33664
-60,6,8.33798
-58,6,8.33936
-56,6,8.34076
-54,6,8.34218
-52,6,8.34362
-50,6,8.34507
-48,6,8.34652
-46,6,8.34798
-44,6,8.34944
-42,6,8.3509
-40,6,8.35234
-38,6,8.35377
-36,6,8.35518
-34,6,8.35656
-32,6,8.35791
-30,6,8.35922
-28,6,8.3605
-26,6,8.36173
-24,6,8.3629
-22,6,8.36403
-20,6,8.3651
-18,6,8.3661
-16,6,8.36703
-14,6,8.3679
-12,6,8.36869
-10,6,8.36941
-8,6,8.37004
-6,6,8.37059
-4,6,8.37106
-2,6,8.37144
0,6,8.37173
2,6,8.37193
4,6,8.37204
6,6,8.37206
8,6,8.37199
10,6,8.37183
12,6,8.37158
14,6,8.37123
16,6,8.3708
18,6,8.37029
20,6,8.36969
22,6,8.369
24,6,8.36824
26,6,8.3674
28,6,8.36649
30,6,8.36551
32,6,8.36446
34,6,8.36335
36,6,8.36218
38,6,8.36096
40,6,8.35968
42,6,8.35837
44,6,8.35701
46,6,8.35562
48,6,8.3542
50,6,8.35275
52,6,8.35128
54,6,8.3498
56,6,8.3483
58,6,8.3468
60,6,8.3453
62,6,8.3438
64,6,8.34231
66,6,8.34083
68,6,8.33937
70,6,8.33792
72,6,8.33651
74,6,8.33512
76,6,8.33377
78,6,8.33245
80,6,8.33117
82,6,8.32993
84,6,8.32874
86,6,8.32759
88,6,8.3265
90,6,8.32545
92,6,8.32446
94,6,8.32353
96,6,8.32265
98,6,8.32183
100,6,8.32106
102,6,8.32036
104,6,8.31972
106,6,8.31913
108,6,8.3186
110,6,8.31814
112,6,8.31773
114,6,8.31738
116,6,8.31708
118,6,8.31684
120,6,8.31665
122,6,8.31651
124,6,8.31642
126,6,8.31637
128,6,8.31637
130,6,8.31642
132,6,8.3165
134,6,8.31661
136,6,8.31676
138,6,8.31694
140,6,8.31715
142,6,8.31738
144,6,8.31763
146,6,8.3179
148,6,8.31818
150,6,8.31847
152,6,8.31877
154,6,8.31907
156,6,8.31937
158,6,8.31967
160,6,8.31996
162,6,8.32025
164,6,8.32053
166,6,8.32079
168,6,8.32104
170,6,8.32127
172,6,8.32148
174,6,8.32167
176,6,8.32183
178,6,8.32197
180,6,8.32209
-180,8,8.24367
-178,8,8.24383
-176,8,8.24392
-174,8,8.24395
-172,8,8.24392
-170,8,8.24382
-168,8,8.24365
-166,8,8.24343
-164,8,8.24315
-162,8,8.24281
-160,8,8.24242
-158,8,8.24198
-156,8,8.24149
-154,8,8.24095
-152,8,8.24039
-150,8,8.23978
-148,8,8.23915
-146,8,8.2385
-144,8,8.23782
-142,8,8.23714
-140,8,8.23644
-138,8,8.23575
-136,8,8.23505
-134,8,8.23437
-132,8,8.23371
-130,8,8.23306
-128,8,8.23244
-126,8,8.23185
-124,8,8.2313
-122,8,8.2308
-120,8,8.23034
-118,8,8.22993
-116,8,8.22958
-114,8,8.22929
-112,8,8.22907
-110,8,8.22892
-108,8,8.22884
-106,8,8.22884
-104,8,8.22892
-102,8,8.22908
-100,8,8.22933
-98,8,8.22967
-96,8,8.2301
-94,8,8.23063
-92,8,8.23124
-90,8,8.23196
-88,8,8.23277
-86,8,8.23367
-84,8,8.23468
-82,8,8.23578
-80,8,8.23698
-78,8,8.23827
-76,8,8.23965
-74,8,8.24113
-72,8,8.2427
-70,8,8.24435
-68,8,8.24609
-66,8,8.24791
-64,8,8.2498
-62,8,8.25176
-60,8,8.25379
-58,8,8.25588
-56,8,8.25802
-54,8,8.26021
-52,8,8.26244
-50,8,8.26471
-48,8,8.267
-46,8,8.26931
-44,8,8.27163
-42,8,8.27396
-40,8,8.27627
-38,8,8.27857
-36,8,8.28085
-34,8,8.28309
-32,8,8.28529
-30,8,8.28744
-28,8,8.28953
-26,8,8.29155
-24,8,8.29349
-22,8,8.29535
-20,8,8.29711
-18,8,8.29877
-16,8,8.30033
-14,8,8.30176
-12,8,8.30308
-10,8,8.30427
-8,8,8.30532
-6,8,8.30624
-4,8,8.30701
-2,8,8.30764
0,8,8.30813
2,8,8.30846
4,8,8.30864
6,8,8.30867
8,8,8.30854
10,8,8.30827
12,8,8.30784
14,8,8.30726
16,8,8.30654
18,8,8.30567
20,8,8.30467
22,8,8.30353
24,8,8.30226
26,8,8.30087
28,8,8.29936
30,8,8.29773
32,8,8.29601
34,8,8.29418
36,8,8.29227
38,8,8.29027
40,8,8.2882
42,8,8.28606
44,8,8.28387
46,8,8.28163
48,8,8.27935
50,8,8.27704
52,8,8.2747
54,8,8.27235
56,8,8.27
58,8,8.26764
60,8,8.2653
62,8,8.26298
64,8,8.26068
66,8,8.25841
68,8,8.25619
70,8,8.25401
72,8,8.25188
74,8,8.24982
76,8,8.24782
78,8,8.24589
80,8,8.24404
82,8,8.24226
84,8,8.24057
86,8,8.23897
88,8,8.23746
90,8,8.23604
92,8,8.23473
94,8,8.23351
96,8,8.23239
98,8,8.23137
100,8,8.23045
102,8,8.22964
104,8,8.22893
106,8,8.22833
108,8,8.22783
110,8,8.22742
112,8,8.22712
114,8,8.22691
116,8,8.2268
118,8,8.22678
120,8,8.22685
122,8,8.227
124,8,8.22723
126,8,8.22754
128,8,8.22792
130,8,8.22837
132,8,8.22887
134,8,8.22944
136,8,8.23005
138,8,8.2307
140,8,8.23139
142,8,8.23212
144,8,8.23286
146,8,8.23363
148,8,8.2344
150,8,8.23519
152,8,8.23596
154,8,8.23674
156,8,8.2375
158,8,8.23823
160,8,8.23895
162,8,8.23963
164,8,8.24028
166,8,8.24088
168,8,8.24144
170,8,8.24196
172,8,8.24242
174,8,8.24282
176,8,8.24317
178,8,8.24345
180,8,8.24367
-180,10,8.14744
-178,10,8.14767
-176,10,8.14777
-174,10,8.14775
-172,10,8.14761
-170,10,8.14735
-168,10,8.14697
-166,10,8.14647
-164,10,8.14587
-162,10,8.14517
-160,10,8.14436
-158,10,8.14346
-156,10,8.14247
-154,10,8.14141
-152,10,8.14027
-150,10,8.13907
-148,10,8.13781
-146,10,8.13651
-144,10,8.13517
-142,10,8.1338
-140,10,8.13242
-138,10,8.13102
-136,10,8.12963
-134,10,8.12824
-132,10,8.12688
-130,10,8.12555
-128,10,8.12425
-126,10,8.123
-124,10,8.1218
-122,10,8.12067
-120,10,8.11961
-118,10,8.11863
-116,10,8.11774
-114,10,8.11694
-112,10,8.11623
-110,10,8.11564
-108,10,8.11516
-106,10,8.11479
-104,10,8.11454
-102,10,8.11443
-100,10,8.11444
-98,10,8.11459
-96,10,8.11487
-94,10,8.1153
-92,10,8.11587
-90,10,8.11659
-88,10,8.11746
-86,10,8.11847
-84,10,8.11964
-82,10,8.12096
-80,10,8.12243
-78,10,8.12405
-76,10,8.12582
-74,10,8.12773
-72,10,8.12979
-70,10,8.13199
-68,10,8.13433
-66,10,8.13681
-64,10,8.13941
-62,10,8.14213
-60,10,8.14496
-58,10,8.1479
-56,10,8.15094
-54,10,8.15407
-52,10,8.15727
-50,10,8.16054
-48,10,8.16387
-46,10,8.16724
-44,10,8.17064
-42,10,8.17406
-40,10,8.17748
-38,10,8.18089
-36,10,8.18427
-34,10,8.18761
-32,10,8.1909
-30,10,8.19412
-28,10,8.19726
-26,10,8.2003
-24,10,8.20323
-22,10,8.20603
-20,10,8.20869
-18,10,8.2112
-16,10,8.21355
-14,10,8.21573
-12,10,8.21772
-10,10,8.21951
-8,10,8.2211
-6,10,8.22248
-4,10,8.22365
-2,10,8.22459
0,10,8.2253
2,10,8.22579
4,10,8.22604
6,10,8.22605
8,10,8.22584
10,10,8.22539
12,10,8.22471
14,10,8.22381
16,10,8.22268
18,10,8.22134
20,10,8.21978
22,10,8.21803
24,10,8.21608
26,10,8.21395
28,10,8.21165
30,10,8.20918
32,10,8.20656
34,10,8.2038
36,10,8.20092
38,10,8.19792
40,10,8.19483
42,10,8.19164
44,10,8.18839
46,10,8.18507
48,10,8.18171
50,10,8.17832
52,10,8.1749
54,10,8.17149
56,10,8.16808
58,10,8.16469
60,10,8.16133
62,10,8.15802
64,10,8.15476
66,10,8.15157
68,10,8.14846
70,10,8.14543
72,10,8.1425
74,10,8.13967
76,10,8.13695
78,10,8.13434
80,10,8.13187
82,10,8.12952
84,10,8.12732
86,10,8.12525
88,10,8.12333
90,10,8.12156
92,10,8.11994
94,10,8.11847
96,10,8.11717
98,10,8.11602
100,10,8.11503
102,10,8.1142
104,10,8.11353
106,10,8.11302
108,10,8.11266
110,10,8.11246
112,10,8.11242
114,10,8.11252
116,10,8.11276
118,10,8.11314
120,10,8.11366
122,10,8.11431
124,10,8.11507
126,10,8.11595
128,10,8.11694
130,10,8.11802
132,10,8.11919
134,10,8.12044
136,10,8.12176
138,10,8.12314
140,10,8.12457
142,10,8.12604
144,10,8.12753
146,10,8.12904
148,10,8.13055
150,10,8.13206
152,10,8.13355
154,10,8.13501
156,10,8.13644
158,10,8.13782
160,10,8.13914
162,10,8.14039
164,10,8.14156
166,10,8.14266
168,10,8.14366
170,10,8.14456
172,10,8.14537
174,10,8.14606
176,10,8.14664
178,10,8.1471
180,10,8.14744
-180,12,8.03476
-178,12,8.03503
-176,12,8.0351
-174,12,8.03497
-172,12,8.03464
-170,12,8.03411
-168,12,8.03339
-166,12,8.03249
-164,12,8.03141
-162,12,8.03015
-160,12,8.02874
-158,12,8.02717
-156,12,8.02546
-154,12,8.02363
-152,12,8.02168
-150,12,8.01963
-148,12,8.01748
-146,12,8.01527
-144,12,8.01299
-142,12,8.01067
-140,12,8.00832
-138,12,8.00595
-136,12,8.00359
-134,12,8.00124
-132,12,7.99892
-130,12,7.99664
-128,12,7.99441
-126,12,7.99226
-124,12,7.99019
-122,12,7.98821
-120,12,7.98633
-118,12,7.98458
-116,12,7.98294
-114,12,7.98145
-112,12,7.98009
-110,12,7.97889
-108,12,7.97785
-106,12,7.97697
-104,12,7.97627
-102,12,7.97575
-100,12,7.97541
-98,12,7.97526
-96,12,7.9753
-94,12,7.97554
-92,12,7.97599
-90,12,7.97664
-88,12,7.9775
-86,12,7.97857
-84,12,7.97986
-82,12,7.98136
-80,12,7.98309
-78,12,7.98503
-76,12,7.98718
-74,12,7.98956
-72,12,7.99214
-70,12,7.99494
-68,12,7.99795
-66,12,8.00116
-64,12,8.00457
-62,12,8.00816
-60,12,8.01194
-58,12,8.01588
-56,12,8.01998
-54,12,8.02423
-52,12,8.0286
-50,12,8.03309
-48,12,8.03768
-46,12,8.04235
-44,12,8.04707
-42,12,8.05184
-40,12,8.05663
-38,12,8.06142
-36,12,8.06619
-34,12,8.07091
-32,12,8.07556
-30,12,8.08012
-28,12,8.08457
-26,12,8.08889
-24,12,8.09305
-22,12,8.09704
-20,12,8.10083
-18,12,8.10441
-16,12,8.10775
-14,12,8.11084
-12,12,8.11367
-10,12,8.11621
-8,12,8.11847
-6,12,8.12041
-4,12,8.12205
-2,12,8.12335
0,12,8.12434
2,12,8.12498
4,12,8.12529
6,12,8.12527
8,12,8.1249
10,12,8.1242
12,12,8.12317
14,12,8.12182
16,12,8.12014
18,12,8.11817
20,12,8.11589
22,12,8.11333
24,12,8.11049
26,12,8.1074
28,12,8.10407
30,12,8.10052
32,12,8.09676
34,12,8.09281
36,12,8.0887
38,12,8.08444
40,12,8.08005
42,12,8.07556
44,12,8.07098
46,12,8.06634
48,12,8.06165
50,12,8.05694
52,12,8.05222
54,12,8.04752
56,12,8.04285
58,12,8.03823
60,12,8.03368
62,12,8.02922
64,12,8.02485
66,12,8.0206
68,12,8.01648
70,12,8.0125
72,12,8.00866
74,12,8.00499
76,12,8.0015
78,12,7.99818
80,12,7.99505
82,12,7.99212
84,12,7.98939
86,12,7.98686
88,12,7.98455
90,12,7.98246
92,12,7.98058
94,12,7.97893
96,12,7.97751
98,12,7.97631
100,12,7.97533
102,12,7.97459
104,12,7.97407
106,12,7.97378
108,12,7.97371
110,12,7.97387
112,12,7.97424
114,12,7.97482
116,12,7.9756
118,12,7.97659
120,12,7.97777
122,12,7.97913
124,12,7.98066
126,12,7.98235
128,12,7.9842
130,12,7.98618
132,12,7.98829
134,12,7.9905
136,12,7.99281
138,12,7.9952
140,12,7.99765
142,12,8.00015
144,12,8.00267
146,12,8.00521
148,12,8.00774
150,12,8.01024
152,12,8.0127
154,12,8.01511
156,12,8.01744
158,12,8.01968
160,12,8.02182
162,12,8.02383
164,12,8.02572
166,12,8.02746
168,12,8.02904
170,12,8.03045
172,12,8.03169
174,12,8.03275
176,12,8.03361
178,12,8.03429
180,12,8.03476
-180,14,7.90707
-178,14,7.90736
-176,14,7.90735
-174,14,7.90702
-172,14,7.9064
-170,14,7.90547
-168,14,7.90426
-166,14,7.90277
-164,14,7.90101
-162,14,7.89899
-160,14,7.89673
-158,14,7.89424
-156,14,7.89155
-154,14,7.88866
-152,14,7.8856
-150,14,7.88239
-148,14,7.87906
-146,14,7.87561
-144,14,7.87208
-142,14,7.86849
-140,14,7.86486
-138,14,7.86121
-136,14,7.85756
-134,14,7.85393
-132,14,7.85036
-130,14,7.84685
-128,14,7.84342
-126,14,7.8401
-124,14,7.8369
-122,14,7.83384
-120,14,7.83093
-118,14,7.82819
-116,14,7.82562
-114,14,7.82324
-112,14,7.82107
-110,14,7.8191
-108,14,7.81736
-106,14,7.81584
-104,14,7.81455
-102,14,7.81351
-100,14,7.81271
-98,14,7.81216
-96,14,7.81188
-94,14,7.81185
-92,14,7.8121
-90,14,7.81261
-88,14,7.81341
-86,14,7.81449
-84,14,7.81585
-82,14,7.81751
-80,14,7.81946
-78,14,7.82171
-76,14,7.82425
-74,14,7.8271
-72,14,7.83025
-70,14,7.83369
-68,14,7.83744
-66,14,7.84147
-64,14,7.84579
-62,14,7.85038
-60,14,7.85524
-58,14,7.86035
-56,14,7.8657
-54,14,7.87126
-52,14,7.87703
-50,14,7.88298
-48,14,7.88909
-46,14,7.89533
-44,14,7.90167
-42,14,7.90808
-40,14,7.91454
-38,14,7.92102
-36,14,7.92748
-34,14,7.93389
-32,14,7.94022
-30,14,7.94643
-28,14,7.9525
-26,14,7.95839
-24,14,7.96408
-22,14,7.96952
-20,14,7.97469
-18,14,7.97957
-16,14,7.98412
-14,14,7.98833
-12,14,7.99217
-10,14,7.99562
-8,14,7.99866
-6,14,8.00128
-4,14,8.00346
-2,14,8.00519
0,14,8.00647
2,14,8.00728
4,14,8.00763
6,14,8.0075
8,14,8.00692
10,14,8.00587
12,14,8.00436
14,14,8.00241
16,14,8.00002
18,14,7.99721
20,14,7.994
22,14,7.9904
24,14,7.98644
26,14,7.98213
28,14,7.9775
30,14,7.97257
32,14,7.96738
34,14,7.96195
36,14,7.9563
38,14,7.95047
40,14,7.94449
42,14,7.93839
44,14,7.9322
46,14,7.92594
48,14,7.91965
50,14,7.91335
52,14,7.90708
54,14,7.90085
56,14,7.8947
58,14,7.88865
60,14,7.88273
62,14,7.87694
64,14,7.87132
66,14,7.86588
68,14,7.86064
70,14,7.85561
72,14,7.8508
74,14,7.84624
76,14,7.84192
78,14,7.83786
80,14,7.83407
82,14,7.83055
84,14,7.82731
86,14,7.82435
88,14,7.82169
90,14,7.81932
92,14,7.81725
94,14,7.81548
96,14,7.81401
98,14,7.81285
100,14,7.812
102,14,7.81145
104,14,7.8112
106,14,7.81126
108,14,7.81163
110,14,7.81229
112,14,7.81325
114,14,7.81449
116,14,7.81602
118,14,7.81782
120,14,7.81989
122,14,7.8222
124,14,7.82476
126,14,7.82754
128,14,7.83052
130,14,7.83369
132,14,7.83704
134,14,7.84053
136,14,7.84415
138,14,7.84787
140,14,7.85167
142,14,7.85552
144,14,7.8594
146,14,7.86329
148,14,7.86715
150,14,7.87096
152,14,7.87469
154,14,7.87833
156,14,7.88184
158,14,7.8852
160,14,7.88839
162,14,7.89139
164,14,7.89418
166,14,7.89673
168,14,7.89905
170,14,7.9011
172,14,7.90288
174,14,7.90437
176,14,7.90557
178,14,7.90647
180,14,7.90707
-180,16,7.76589
-178,16,7.76615
-176,16,7.76598
-174,16,7.76536
-172,16,7.76431
-170,16,7.76283
-168,16,7.76094
-166,16,7.75865
-164,16,7.75598
-162,16,7.75294
-160,16,7.74956
